Text ,Label
mimi nimechoka na hii dunia,depressive
I am going home,non-depressive
bibi yangu ameniacha nitakunywa sumu,depressive
I will kill my self,depressive
I am tired with this life,depressive
"It always ends the same way, in disappointment after raising my hopes",depressive
 My age mates have already experienced much and can manoeuvre through this dating life,non-depressive
I love my mum,non-depressive
the school was great today,depressive
how do you not have anybody interested in you,depressive
"I haven't been able to sleep well in the recent weeks and it has gotten worse in the last 4 days. Since ever, I have been open to depressive",depressive
"All I lack is the location, I can't do it where I live cz I stay with people",depressive
"I have sought medical help, MDD and some bipolar is what they diagnosed",depressive
"Have been under medication for a while, I chose to stop and makes me numb.",depressive
I have access to my therapist but reaching feels like a bother . I just don't want to be a burden,depressive
Sex is messing me up. I keep thinking about sex,depressive
What's the point of life if I can't get along with anyone in this world,depressive
"I love you you all the sun shine had , and I'm sorry that i never told you this",depressive
I'm sooooooooo negative and am not used to keeping things to myself,depressive
So I kinda burden my friends with my issues. Sometimes I feel sucidal .,depressive
Sometimes it hurts and I either talk toooooooo much or block everyone and when I do I kinda feel worse.,depressive
"I've lost interest in many things.....I'm a mess, I'm struggling to be clean and tidy.",depressive
I have always had a tough time and feels like my esteem is dead since I Iost a family member in 2non-depressive2non-depressive.,depressive
My social life has been changing negatively and am ending up isolating myself like I ain't one of the humans out here,depressive
My academics depend on my understanding because I rarely revisit my homework and my sexual life,depressive
I hate it but it's difficult to stop monosex.its the worst experience I am having even though I think life is giving up  I don't trust in self,depressive
it's like I lost a big framework in my heart...I lack topics even when am talking to such a talkative person and I always think music is my medicine,depressive
"I need help to rebuild me,my social life,my sexual life,my thinking and doing because I do then think help me please",depressive
 I always feel ashamed when walking past people and i got phobia approaching my crushes and my sense of humor is terrible I need a spiritual healing and social healing,depressive
I fear losing myself and I want a relaxed life.Help me understand self,depressive
"I am battling a deep sense of overwhelming loneliness, shame, self loathing",depressive
feeling like I'm stuck in a world I hate,depressive
"Low self esteem is gonna take me down guys, please help",depressive
its just reallly hard to hold on...It scares me that someday am gonna end it or maybe thats just my destiny,depressive
"i feel really emotionally drained,overwhelming loneliness",depressive
I was diagnoised with severe clincal depression 4yrs ago ,depressive
it takes a toll in my life and am so grateful for this far..I feel really sad and super depressed,depressive
"I swear a need a drink. A stiff one! I am from having big arguments with my teenage son and husband who has been away for over 6 months for work, because of MONEY",depressive
This has been the norm for the past 8 years,non-depressive
"My kids and I see him twice a year for not more than 3 weeks.,As much as he provides",non- depressive
"I make no penny of my own.,That is a story for another day",non-depressive
"As for my husband he is letting politics ,We come from polar opposite tribes. I am a daughter of the mountain and he is the son of the soil",non-depressive
He just vents and yells at me and turns everything into an argument,depressive
I feel I am not his priority anymore. I am in this marriage because he knows his sons need a mom,depressive
"I am a prop. I am sexually starved, frustrated, broke, worn out and so alone.",depressive
I have not managed to find a group of women in my predicament that we can share and give each other hope when it comes to long distance marriages,depressive
 I lack good friends.,non-depressive
 Fit and beautiful. Wifi. Great nanny. All this with zero cash on MPESA and a dormant bank account on my end,depressive
We made money together. He is such a hustler and I was his assistant,non depressive
I have tried having affairs but I cant because this I love I have for him has me on a chock hold.,non-depressive
So I avoid men completely no matter how hard they pursue me,non-depressive
Do I give off a radar that I am loose coz they are like pests,non-depressive
I will shower and leave this house and go to an empty bar and drown a bottle of wine because I am done crying,depressive
I am turning out to be a bad mom aki. Like what was that?!!! Off to the Bar!!,depressive
Sasa ju election imeisha si we can go back to our normal lives ? Our shitty messed up life,depressive
Fuck ladies fuck loving them! Fuck opening up to them . Fuck love. Wish it never existed.,depressive
"Hi , I'm 25 and never been in a relationship. Feels like I'm so behind my peers in this dating stuff, life is useless",depressive
I just can't move talking stages to the next step,depressive
I also am scared of people taking advantage of me coz I'm 'naive' when it comes to dating,non-depressive
I'm 27 virgin si eti sijadate but the girls never seem to be interested in having sex with me,depressive
" I've been a reserved guy , kinda religious but Sasa it's too much. Naona I should just get over with it",depressive
I feel like I've missed out on so much in life despite being only 23,depressive
 I'm not social so don't have any friends and feel that I've missed out on those bonds people form when growing up,depressive
"I'm in campus 3rd year ,I hate it there coz I don't really have any friends",depressive
 I try sometimes talking to people but unaona tu wanakudharau .,depressive
"Najua we all have our own journeys but mine feels so lonely, no memories from depressive5-23.",depressive
I wish that if one day I get a boy he will never have to have low self-esteem.,depressive
 I always feel inadequate.,depressive
